"module name","license","repository"
"7zip-bin@5.2.0","MIT","https://github.com/develar/7zip-bin"
"@ampproject/remapping@2.3.0","Apache-2.0","https://github.com/ampproject/remapping"
"@apidevtools/json-schema-ref-parser@9.1.2","MIT","https://github.com/APIDevTools/json-schema-ref-parser"
"@apidevtools/openapi-schemas@2.1.0","MIT","https://github.com/APIDevTools/openapi-schemas"
"@apidevtools/swagger-methods@3.0.2","MIT","https://github.com/APIDevTools/swagger-methods"
"@apidevtools/swagger-parser@10.0.3","MIT","https://github.com/APIDevTools/swagger-parser"
"@babel/code-frame@7.27.1","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.28.0","MIT","https://github.com/babel/babel"
"@babel/core@7.28.0","MIT","https://github.com/babel/babel"
"@babel/generator@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.27.3","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.27.2","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-create-regexp-features-plugin@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-define-polyfill-provider@0.6.5","MIT","https://github.com/babel/babel-polyfills"
"@babel/helper-globals@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.27.3","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-remap-async-to-generator@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-wrap-function@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.28.2","MIT","https://github.com/babel/babel"
"@babel/parser@7.28.0","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-firefox-class-in-computed-class-key@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-safari-class-field-initializer-scope@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-property-in-object@7.21.0-placeholder-for-preset-env.2","MIT","https://github.com/babel/babel-plugin-proposal-private-property-in-object"
"@babel/plugin-syntax-import-assertions@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-attributes@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-jsx@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-unicode-sets-regex@7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-arrow-functions@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-async-generator-functions@7.28.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-async-to-generator@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoped-functions@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoping@7.28.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-class-properties@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-class-static-block@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-classes@7.28.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-computed-properties@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-destructuring@7.28.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-dotall-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-duplicate-keys@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-duplicate-named-capturing-groups-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-dynamic-import@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-explicit-resource-management@7.28.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-exponentiation-operator@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-export-namespace-from@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-for-of@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-function-name@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-json-strings@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-literals@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-logical-assignment-operators@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-member-expression-literals@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-amd@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-commonjs@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-systemjs@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-umd@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-named-capturing-groups-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-new-target@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-nullish-coalescing-operator@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-numeric-separator@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-object-rest-spread@7.28.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-object-super@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-optional-catch-binding@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-optional-chaining@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-parameters@7.27.7","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-private-methods@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-private-property-in-object@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-property-literals@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-display-name@7.28.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-development@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-pure-annotations@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-regenerator@7.28.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-regexp-modifiers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-reserved-words@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-shorthand-properties@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-spread@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-sticky-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-template-literals@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typeof-symbol@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-escapes@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-property-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-sets-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/preset-env@7.28.0","MIT","https://github.com/babel/babel"
"@babel/preset-modules@0.1.6-no-external-plugins","MIT","https://github.com/babel/preset-modules"
"@babel/preset-react@7.27.1","MIT","https://github.com/babel/babel"
"@babel/runtime@7.28.2","MIT","https://github.com/babel/babel"
"@babel/template@7.27.2","MIT","https://github.com/babel/babel"
"@babel/traverse@7.28.0","MIT","https://github.com/babel/babel"
"@babel/types@7.28.2","MIT","https://github.com/babel/babel"
"@develar/schema-utils@2.6.5","MIT","https://github.com/webpack/schema-utils"
"@discoveryjs/json-ext@0.6.3","MIT","https://github.com/discoveryjs/json-ext"
"@electron/asar@3.2.18","MIT","https://github.com/electron/asar"
"@electron/fuses@1.8.0","MIT","https://github.com/electron/fuses"
"@electron/get@2.0.3","MIT","https://github.com/electron/get"
"@electron/node-gyp@10.2.0-electron.1","MIT","https://github.com/nodejs/node-gyp"
"@electron/notarize@2.5.0","MIT","https://github.com/electron/notarize"
"@electron/osx-sign@1.3.1","BSD-2-Clause","https://github.com/electron/osx-sign"
"@electron/rebuild@3.7.0","MIT","https://github.com/electron/rebuild"
"@electron/universal@2.0.1","MIT","https://github.com/electron/universal"
